session_id,turn,query,expected_action,expected_status,expected_symptom,expected_escalated
post_cancel_02,1,水箱边上在漏水,give_step,waiting_feedback,water_leak,0
post_cancel_02,2,后面的排查暂时不用继续,cancel,cancelled,water_leak,0
post_cancel_03,1,设备一直显示断网,give_step,waiting_feedback,wifi_offline,0
post_cancel_03,2,我先停一下诊断,cancel,cancelled,wifi_offline,0
post_cancel_04,1,清扫时噪声特别大,give_step,waiting_feedback,abnormal_noise,0
post_cancel_04,2,先放着吧以后再看,cancel,cancelled,abnormal_noise,0
post_suction_02,1,最近清洁效果比之前差了不少,give_step,waiting_feedback,low_suction,0
post_suction_02,2,滤网和尘盒都处理过了吸力还是弱,give_step,waiting_feedback,low_suction,0
post_suction_02,3,把吸口清完后现在好多了,resolve,resolved,low_suction,0
post_human_04,1,别再自动排查了请转给售后,escalate,escalated,,1
post_cancel_05,1,设备总是在原地绕圈,give_step,waiting_feedback,spinning_in_place,0
post_cancel_05,2,今天不方便继续操作,give_step,waiting_feedback,spinning_in_place,0
post_cancel_05,3,先把诊断关掉吧,cancel,cancelled,spinning_in_place,0
